Open,High,Low,Close,Volume,Complete,Timestamp
69455.27,69455.27,69455.27,69455.27,0.0,True,2026-03-11 11:49:24
69455.27,69458.83,69455.26,69458.82,0.02076,True,2026-03-11 11:49:25
69458.82,69458.83,69458.82,69458.83,0.00036,True,2026-03-11 11:49:26
69458.82,69458.82,69458.82,69458.82,0.00479,True,2026-03-11 11:49:27
69458.83,69463.84,69458.83,69463.84,0.01601,True,2026-03-11 11:49:28
69463.88,69463.88,69463.88,69463.88,0.00156,True,2026-03-11 11:49:29
69463.88,69463.88,69460.74,69460.74,0.01756,True,2026-03-11 11:49:30
69460.73,69460.73,69457.33,69457.33,0.03522,True,2026-03-11 11:49:31
69457.32,69457.32,69455.18,69455.18,0.02479,True,2026-03-11 11:49:32
69455.17,69455.18,69455.17,69455.18,0.07302,True,2026-03-11 11:49:33
69455.17,69455.17,69451.2,69451.2,0.5658,True,2026-03-11 11:49:34
69451.0,69451.01,69451.0,69451.0,0.01619,True,2026-03-11 11:49:35
69451.01,69451.01,69451.0,69451.0,0.02206,True,2026-03-11 11:49:36
69451.0,69451.01,69444.77,69444.77,0.27034,True,2026-03-11 11:49:37
69444.77,69444.78,69444.77,69444.77,0.00521,True,2026-03-11 11:49:38
69444.78,69444.78,69444.77,69444.78,0.01461,True,2026-03-11 11:49:39
69444.77,69444.78,69444.77,69444.78,0.01344,True,2026-03-11 11:49:40
69444.78,69444.78,69444.78,69444.78,0.00081,True,2026-03-11 11:49:41
69444.78,69444.78,69444.77,69444.77,0.01221,True,2026-03-11 11:49:42
69444.77,69444.78,69444.77,69444.78,0.00039,True,2026-03-11 11:49:43
69444.77,69444.77,69444.77,69444.77,0.00196,True,2026-03-11 11:49:44
69444.77,69444.77,69444.77,69444.77,0.0003,True,2026-03-11 11:49:45
69444.78,69444.78,69444.77,69444.77,0.01016,True,2026-03-11 11:49:46
69444.77,69444.78,69444.77,69444.78,0.00104,True,2026-03-11 11:49:47
69444.78,69444.78,69444.78,69444.78,0.01,True,2026-03-11 11:49:48
69444.78,69444.78,69444.77,69444.78,0.01274,True,2026-03-11 11:49:49
69444.77,69444.78,69444.77,69444.78,0.00281,True,2026-03-11 11:49:50
69444.77,69444.78,69444.03,69444.03,0.16774,True,2026-03-11 11:49:51
69444.03,69444.03,69444.03,69444.03,0.0,True,2026-03-11 11:49:52
69444.03,69444.03,69444.02,69444.03,0.00671,True,2026-03-11 11:49:53
69444.03,69444.03,69444.03,69444.03,0.00017,True,2026-03-11 11:49:54
69444.02,69444.02,69444.02,69444.02,0.00295,True,2026-03-11 11:49:55
69444.02,69444.02,69444.02,69444.02,0.00213,True,2026-03-11 11:49:56
69444.03,69444.03,69438.18,69438.18,3.3459,True,2026-03-11 11:49:57
69438.18,69447.77,69432.05,69443.56,9.39539,True,2026-03-11 11:49:58
69443.55,69443.55,69431.51,69431.51,0.81546,True,2026-03-11 11:49:59
69431.51,69431.52,69431.51,69431.52,0.0113,True,2026-03-11 11:50:00
69431.51,69431.52,69431.51,69431.51,0.01546,True,2026-03-11 11:50:01
69431.51,69435.19,69431.51,69435.18,0.02836,True,2026-03-11 11:50:02
69435.18,69435.18,69431.11,69431.11,0.06392,True,2026-03-11 11:50:03
69431.12,69431.12,69431.12,69431.12,0.00016,True,2026-03-11 11:50:04
69431.11,69431.12,69421.24,69421.24,0.33238,True,2026-03-11 11:50:05
69421.24,69444.01,69415.09,69441.64,3.06385,True,2026-03-11 11:50:06
69435.18,69441.12,69421.94,69421.94,0.63517,True,2026-03-11 11:50:07
69421.95,69499.1,69421.95,69477.61,9.95596,True,2026-03-11 11:50:08
69476.37,69479.97,69465.07,69470.63,12.04127,True,2026-03-11 11:50:09
69470.63,69470.63,69463.21,69463.21,0.83968,True,2026-03-11 11:50:10
69463.21,69506.0,69463.21,69478.35,6.29176,True,2026-03-11 11:50:11
69478.36,69478.36,69468.03,69468.03,5.23677,True,2026-03-11 11:50:12
69468.03,69468.03,69456.37,69456.38,0.55782,True,2026-03-11 11:50:13
69456.38,69456.38,69439.41,69439.41,0.8951,True,2026-03-11 11:50:14
69439.41,69439.41,69432.82,69432.82,0.37756,True,2026-03-11 11:50:15
69432.83,69432.83,69432.83,69432.83,0.0001,True,2026-03-11 11:50:16
69432.82,69432.83,69432.82,69432.83,0.19831,True,2026-03-11 11:50:17
69432.82,69432.83,69432.82,69432.83,0.01692,True,2026-03-11 11:50:18
69432.83,69437.7,69432.82,69437.7,0.14515,True,2026-03-11 11:50:19
69437.7,69437.7,69437.69,69437.69,0.09303,True,2026-03-11 11:50:20
69437.7,69437.7,69437.69,69437.7,0.00836,True,2026-03-11 11:50:21
69437.69,69437.69,69418.53,69418.53,2.26272,True,2026-03-11 11:50:22
69418.01,69418.01,69418.01,69418.01,0.00033,True,2026-03-11 11:50:23
69418.0,69418.0,69418.0,69418.0,0.00106,True,2026-03-11 11:50:24
69418.0,69418.01,69418.0,69418.01,0.0023,True,2026-03-11 11:50:25
69418.01,69418.01,69409.15,69409.15,0.63742,True,2026-03-11 11:50:26
69409.15,69409.15,69405.7,69405.7,0.15467,True,2026-03-11 11:50:27
69405.7,69405.7,69394.56,69394.57,0.62702,True,2026-03-11 11:50:28
69394.57,69394.57,69387.01,69387.01,0.31431,True,2026-03-11 11:50:29
69387.02,69387.02,69387.01,69387.02,0.15865,True,2026-03-11 11:50:30
69387.02,69400.85,69387.02,69400.85,0.96633,True,2026-03-11 11:50:31
69400.92,69404.28,69400.92,69400.93,0.86464,True,2026-03-11 11:50:32
69400.92,69400.93,69397.06,69397.07,0.29483,True,2026-03-11 11:50:33
69397.06,69397.07,69392.56,69392.56,0.29162,True,2026-03-11 11:50:34
69392.55,69392.56,69390.86,69390.86,0.05644,True,2026-03-11 11:50:35
69390.86,69390.86,69389.49,69389.49,0.03957,True,2026-03-11 11:50:36
69389.49,69389.49,69389.48,69389.48,0.02942,True,2026-03-11 11:50:37
69389.48,69389.49,69389.42,69389.42,0.05774,True,2026-03-11 11:50:38
69389.25,69389.26,69389.25,69389.25,0.00512,True,2026-03-11 11:50:39
69389.25,69389.26,69387.02,69387.02,0.02101,True,2026-03-11 11:50:40
69387.01,69387.01,69384.67,69384.68,1.43766,True,2026-03-11 11:50:41
69384.68,69384.68,69384.68,69384.68,0.36232,True,2026-03-11 11:50:42
69384.68,69384.68,69384.67,69384.68,0.00239,True,2026-03-11 11:50:43
69384.67,69384.68,69384.67,69384.67,0.00137,True,2026-03-11 11:50:44
69384.68,69399.75,69384.68,69399.75,1.15576,True,2026-03-11 11:50:45
69399.75,69401.52,69399.75,69401.51,0.07093,True,2026-03-11 11:50:46
69401.51,69419.39,69400.81,69400.81,2.83967,True,2026-03-11 11:50:47
69400.8,69400.8,69394.88,69394.89,0.69736,True,2026-03-11 11:50:48
69394.88,69394.89,69394.88,69394.89,1.43446,True,2026-03-11 11:50:49
69394.88,69394.89,69394.88,69394.88,0.01493,True,2026-03-11 11:50:50
69394.88,69394.88,69394.88,69394.88,0.0,True,2026-03-11 11:50:51
69394.88,69394.88,69394.88,69394.88,0.0,True,2026-03-11 11:50:52
69394.88,69394.89,69394.88,69394.89,0.081,True,2026-03-11 11:50:53
69394.88,69394.89,69394.88,69394.89,0.00052,True,2026-03-11 11:50:54
69394.88,69394.89,69394.88,69394.89,0.0342,True,2026-03-11 11:50:55
69394.88,69394.88,69387.4,69387.4,0.1426,True,2026-03-11 11:50:56
69387.41,69387.41,69387.4,69387.4,0.03001,True,2026-03-11 11:50:57
69387.41,69387.41,69387.41,69387.41,0.00016,True,2026-03-11 11:50:58
69387.41,69387.41,69387.4,69387.41,0.03316,True,2026-03-11 11:50:59
69387.4,69388.31,69387.4,69388.31,0.56855,True,2026-03-11 11:51:00
69388.31,69391.3,69388.31,69391.3,0.00849,True,2026-03-11 11:51:01
69391.3,69391.3,69391.29,69391.29,0.11191,True,2026-03-11 11:51:02
69390.72,69390.72,69384.67,69384.67,0.03766,True,2026-03-11 11:51:03
69384.68,69384.68,69384.67,69384.67,0.01422,True,2026-03-11 11:51:04
69384.68,69384.68,69371.4,69375.6,6.92581,True,2026-03-11 11:51:05
69375.6,69375.61,69351.29,69353.5,2.43879,True,2026-03-11 11:51:06
69353.51,69353.51,69353.5,69353.51,0.02359,True,2026-03-11 11:51:07
69353.5,69353.5,69310.32,69321.6,12.19448,True,2026-03-11 11:51:08
69321.6,69321.6,69321.59,69321.6,0.08394,True,2026-03-11 11:51:09
69321.59,69321.6,69321.59,69321.6,0.11184,True,2026-03-11 11:51:10
69321.59,69342.39,69309.09,69342.39,3.55435,True,2026-03-11 11:51:11
69342.39,69343.94,69342.39,69343.93,0.01526,True,2026-03-11 11:51:12
69343.94,69345.03,69343.93,69345.03,0.20748,True,2026-03-11 11:51:13
69345.03,69345.03,69345.02,69345.02,0.00695,True,2026-03-11 11:51:14
69345.03,69345.03,69339.07,69339.08,0.20984,True,2026-03-11 11:51:15
69339.07,69339.07,69337.93,69337.94,0.02032,True,2026-03-11 11:51:16
69337.93,69337.93,69337.93,69337.93,0.06133,True,2026-03-11 11:51:17
69337.93,69337.94,69337.93,69337.94,0.21076,True,2026-03-11 11:51:18
69337.94,69337.94,69337.93,69337.94,0.01318,True,2026-03-11 11:51:19
69337.93,69337.94,69324.46,69324.46,1.74641,True,2026-03-11 11:51:20
69324.47,69325.09,69324.47,69325.09,0.04096,True,2026-03-11 11:51:21
69325.09,69325.09,69325.09,69325.09,0.00153,True,2026-03-11 11:51:22
69325.09,69325.09,69325.08,69325.09,0.06552,True,2026-03-11 11:51:23
69325.08,69325.08,69325.08,69325.08,0.00261,True,2026-03-11 11:51:24
69325.09,69325.09,69318.49,69318.49,0.28933,True,2026-03-11 11:51:25
69318.5,69318.5,69307.01,69307.02,0.40654,True,2026-03-11 11:51:26
