Open,High,Low,Close,Volume,Complete,Timestamp,hl_range,oc_change,returns,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,vol_5,rsi_5,vol_mean_5,vol_std_5,vol_10,rsi_10,vol_mean_10,vol_std_10,vol_20,rsi_20,vol_mean_20,vol_std_20,bb_upper_20,bb_lower_20,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,Volume_lag_1,Volume_lag_2,Volume_lag_3,Volume_lag_4,Volume_lag_5,returns_lag_1,returns_lag_2,returns_lag_3,returns_lag_4,returns_lag_5
69342.33,69342.33,69335.99,69335.99,0.10287,True,2026-03-11 11:52:21,6.3399999999965075,-6.3399999999965075,-9.143044371306974e-05,69343.71200000001,69341.75297706794,69341.617,69342.36959545765,69344.7765,69341.61952352416,69340.9758,69342.40596264787,69349.7586,69355.35397297688,5.348450243693831,33.06288032456233,0.12021600000000002,0.16329279876970323,5.242338432282177,56.47873392681724,0.070069,0.1220018874580896,6.571292650469157,48.95064408742448,0.1439004999999999,0.20982300642696092,69357.91908530095,69331.63391469906,69342.33,69349.19,69348.38,69342.67,69342.67,0.09262,0.0006,0.39966,0.00533,0.00029,-9.891968457020894e-05,1.168015748875817e-05,8.234468041123932e-05,0.0,1.4421136995679262e-07
69335.99,69335.99,69335.99,69335.99,0.0,True,2026-03-11 11:52:22,0.0,0.0,0.0,69342.376,69339.83198471196,69342.009,69341.2096690108,69344.2435,69341.08337842663,69341.0582,69342.15435626953,69349.2717,69354.97052796744,6.403958151726698,33.06288032456233,0.11915,0.1642449119456758,4.549973017587389,56.46437994722829,0.069448,0.1223782757409842,6.838230976465445,41.09886439546967,0.1263264999999999,0.20621008475708,69357.91996195292,69330.56703804707,69335.99,69342.33,69349.19,69348.38,69342.67,0.10287,0.09262,0.0006,0.39966,0.00533,-9.143044371306974e-05,-9.891968457020894e-05,1.168015748875817e-05,8.234468041123932e-05,0.0
69336.0,69336.0,69336.0,69336.0,0.05826,True,2026-03-11 11:52:23,0.0,0.0,1.4422524285961913e-07,69339.9,69338.55465647465,69341.854,69340.26245646337,69343.7115,69340.5992471479,69341.139,69341.91300896484,69348.7849,69354.59487394827,5.8735679113032235,5.84878744645539,0.050870000000000005,0.049031888603674294,4.7411372305140365,46.8812877263512,0.06934,0.12238866341837533,7.052503306444697,41.11556446226119,0.12463899999999992,0.20664333055315642,69357.8165066129,69329.60649338711,69335.99,69335.99,69342.33,69349.19,69348.38,0.0,0.10287,0.09262,0.0006,0.39966,0.0,-9.143044371306974e-05,-9.891968457020894e-05,1.168015748875817e-05,8.234468041123932e-05
69336.0,69337.38,69336.0,69337.38,0.03887,True,2026-03-11 11:52:24,1.3800000000046566,1.3800000000046566,1.990308065091817e-05,69337.53800000002,69338.16310431644,69341.326,69339.73837347003,69343.24799999999,69340.29265218144,69341.2474,69341.7352439074,69348.312,69354.25398535523,2.7452814078553693,9.527073337900958,0.058524,0.041654870424034304,4.931583475106477,37.5,0.071325,0.12164053630359103,7.153117538452959,42.43265306123664,0.1255094999999999,0.20622204628365234,69357.5542350769,69328.94176492309,69336.0,69335.99,69335.99,69342.33,69349.19,0.05826,0.0,0.10287,0.09262,0.0006,1.4422524285961913e-07,0.0,-9.143044371306974e-05,-9.891968457020894e-05,1.168015748875817e-05
69337.39,69338.98,69337.38,69338.98,0.00384,True,2026-03-11 11:52:25,1.5999999999912689,1.5899999999965075,2.3075576262021613e-05,69336.868,69338.43540287763,69340.95800000001,69339.60048738457,69342.7265,69340.16763768796,69341.388,69341.62719512673,69347.7043,69353.95153019967,1.3245640823328295,32.04715969983698,0.040768,0.04240264696977271,4.95820935584881,41.9014084506828,0.070234,0.12225173138516156,7.0598235211957965,41.321351306369074,0.1099329999999999,0.20286461985896426,69356.8461470424,69328.60685295762,69337.38,69336.0,69335.99,69335.99,69342.33,0.03887,0.05826,0.0,0.10287,0.09262,1.990308065091817e-05,1.4422524285961913e-07,0.0,-9.143044371306974e-05,-9.891968457020894e-05
69338.99,69340.86,69338.99,69340.85,0.21313,True,2026-03-11 11:52:26,1.8699999999953434,1.860000000000582,2.6968957432149665e-05,69337.84,69339.2402685851,69340.776,69339.82767149646,69342.064,69340.23262457483,69341.56779999999,69341.59671688646,69347.0977,69353.69209395809,2.0844303798257697,100.0,0.06282,0.08748211960191102,4.921653292091658,46.297803091960326,0.091518,0.12715099927952114,6.538822040447362,38.431988824868434,0.08103449999999993,0.12812118003443743,69355.1416440809,69328.9863559191,69338.98,69337.38,69336.0,69335.99,69335.99,0.00384,0.03887,0.05826,0.0,0.10287,2.3075576262021613e-05,1.990308065091817e-05,1.4422524285961913e-07,0.0,-9.143044371306974e-05
69340.86,69342.65,69340.86,69342.65,0.05098,True,2026-03-11 11:52:27,1.7899999999935972,1.7899999999935972,2.5958724186203597e-05,69339.17199999999,69340.3768457234,69340.774,69340.34082213345,69341.49100000001,69340.4628508058,69341.56880000001,69341.63802210659,69346.5161,69353.47343863218,2.6562134719387056,100.0,0.073016,0.08106560016457669,4.920802104309728,49.962092494306134,0.096083,0.12450477697664056,5.898431459002341,40.298002031828624,0.0816244999999999,0.12794534410708303,69353.28786291802,69329.694137082,69340.85,69338.98,69337.38,69336.0,69335.99,0.21313,0.00384,0.03887,0.05826,0.0,2.6968957432149665e-05,2.3075576262021613e-05,1.990308065091817e-05,1.4422524285961913e-07,0.0
69342.66,69344.61,69342.65,69344.61,0.13168,True,2026-03-11 11:52:28,1.9600000000064028,1.9499999999970896,2.826543260181502e-05,69340.894,69341.78789714894,69340.397,69341.117036291,69341.016,69340.85781739572,69341.19720000001,69341.75457025928,69346.0133,69353.29792499589,2.868175379700198,100.0,0.0877,0.08430918129149959,4.3890141913667655,41.6703490941102,0.069285,0.0678558757384005,5.165751995253802,42.215666994430435,0.0879764999999999,0.12707275004063787,69351.34750399052,69330.68449600949,69342.65,69340.85,69338.98,69337.38,69336.0,0.05098,0.21313,0.00384,0.03887,0.05826,2.5958724186203597e-05,2.6968957432149665e-05,2.3075576262021613e-05,1.990308065091817e-05,1.4422524285961913e-07
69344.61,69344.61,69344.61,69344.61,0.0,True,2026-03-11 11:52:29,0.0,0.0,0.0,69342.34,69342.7285980993,69339.939,69341.75212060173,69340.856,69341.21516811993,69340.73700000001,69341.86654789618,69345.5105,69353.12588687715,2.4449744393110455,100.0,0.079926,0.09142879458924842,3.5230335752095727,39.505041246555145,0.06922500000000001,0.06792358848165525,4.990840451595877,47.07602339181637,0.0818809999999999,0.1282775510531995,69350.83768090319,69330.87431909681,69344.61,69342.65,69340.85,69338.98,69337.38,0.13168,0.05098,0.21313,0.00384,0.03887,2.826543260181502e-05,2.5958724186203597e-05,2.6968957432149665e-05,2.3075576262021613e-05,1.990308065091817e-05
69344.61,69344.62,69340.92,69340.92,0.0697,True,2026-03-11 11:52:30,3.6999999999970896,-3.6900000000023283,-5.321249914014281e-05,69342.728,69342.1257320662,69339.798,69341.60082594687,69340.511,69341.18705687042,69340.203,69341.82942837084,69344.97090000001,69352.88418614693,1.8631747123986864,60.4077253218931,0.09309799999999999,0.08198304958979578,3.4440376844724843,46.219839142080616,0.06693299999999999,0.06743135753410218,4.714968213606941,44.09246575341807,0.08534599999999991,0.1268892121166123,69349.94093642721,69331.08106357278,69344.61,69344.61,69342.65,69340.85,69338.98,0.0,0.13168,0.05098,0.21313,0.00384,0.0,2.826543260181502e-05,2.5958724186203597e-05,2.6968957432149665e-05,2.3075576262021613e-05
